action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,102,5,,,,,White,,,,,1,Male,0,2016,0014.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,109,Tompkins County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,27060,Ithaca - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7776600008,0002143,36,NY,New York,69000,236,1571,1086,13.029999732971191,3530,,111.5199966430664
6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,72,5,,,,,White,,,,,1,Male,2,2016,1122.06,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000013126,0000471,36,NY,New York,106200,219,2343,2293,17.81999969482422,8271,,106.68000030517578
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,116,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,0275.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,81,Queens County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),13-3222578,0034578,36,NY,New York,72600,215,955,1058,91.87000274658203,6887,,71.80000305175781
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,52,5,,,,,White,,,,,2,Female,0,2016,0136.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7776400006,0006330,36,NY,New York,68100,133,1903,1842,8.569999694824219,5471,,118.68000030517578
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,3,,,,,Black or African American,,,,,1,Male,0,2016,0186.00,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,2,Female,81,Queens County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,22-3747694,0000025,36,NY,New York,72600,335,565,348,98.5199966430664,1623,,78.51000213623047
1,Loan originated,5,NCUA,National Credit Union Administration,1,Hispanic or Latino,100,5,,,,,White,,,,,1,Male,0,2016,9513.00,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,111,Ulster County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,28740,Kingston - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000015766,0000524,36,NY,New York,75900,185,1608,1125,12.130000114440918,4337,,110.61000061035156
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,85,5,,,,,White,,,,,2,Female,0,2016,1580.11,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000017914,0000640,36,NY,New York,106200,2,1426,1376,19.989999771118164,4972,,108.55000305175781
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,262,5,,,,,White,,,,,2,Female,0,2016,0108.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,87,Rockland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),13-6131491,0108799,36,NY,New York,72600,575,1441,1423,21.389999389648438,4385,,219.17999267578125
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,51,5,,,,,White,,,,,2,Female,0,2016,0149.05,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),38-2750395,0026897,36,NY,New York,68100,89,1879,1462,9.140000343322754,5536,,124.33000183105469
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,104,5,,,,,White,,,,,1,Male,0,2016,0132.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,71,Orange County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7197000003,0319446,36,NY,New York,72600,342,916,702,27.219999313354492,2436,,146.22999572753906
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,86,5,,,,,White,,,,,1,Male,0,2016,4162.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000004735,0005359,36,NY,New York,106200,200,1389,1230,16.770000457763672,3715,,113.54000091552734
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,654,5,,,,,White,,,,,1,Male,0,2016,3009.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000497404,0026634,36,NY,New York,106200,1360,3115,2815,31.950000762939453,8009,,183.55999755859375
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",274,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2016,0052.01,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,47,Kings County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0018465,36,NY,New York,72600,630,231,221,17.0,1829,,109.75
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,40,5,,,,,White,,,,,2,Female,0,2016,0501.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7776600008,0001359,36,NY,New York,68100,111,3727,3415,6.5,10803,,165.8800048828125
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,226,5,,,,,White,,,,,1,Male,0,2016,0109.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,119,Westchester County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7197000003,0259596,36,NY,New York,72600,380,1416,1183,81.0,4896,,146.3699951171875
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,77,5,,,,,White,,,,,2,Female,0,2016,9538.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,111,Ulster County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,28740,Kingston - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000015802,0000634,36,NY,New York,75900,145,1479,980,15.100000381469727,3946,,121.86000061035156
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,118,5,,,,,White,,,,,1,Male,2,2016,4090.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000451965,1077620,36,NY,New York,106200,386,1875,1711,21.399999618530273,5705,,84.95999908447266
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,106,5,,,,,White,,,,,1,Male,0,2016,0703.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,81,Queens County,7,,,Credit application incomplete,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0066629,36,NY,New York,72600,560,705,517,49.849998474121094,2010,,107.80999755859375
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,51,5,,,,,White,,,,,1,Male,0,2016,0138.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,7197000003,0269292,36,NY,New York,68100,72,2199,1816,14.390000343322754,5906,,83.11000061035156
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,32,5,,,,,White,,,,,2,Female,0,2016,9507.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,3,Allegany County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,05-0402708,0030102,36,NY,New York,58900,68,1936,1152,4.0,3821,,93.54000091552734
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,106,5,,,,,White,,,,,1,Male,0,2016,5213.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,59,Nassau County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,0000005588,0001258,36,NY,New York,106200,304,1968,1896,6.260000228881836,5527,,132.91000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,110,5,,,,,White,,,,,1,Male,0,2016,1584.05,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000112837,0005811,36,NY,New York,106200,284,1728,1458,11.3100004196167,5005,,112.9000015258789
2,Application approved but not accepted,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,160,2,,,,,Asian,,,,,1,Male,0,2016,0114.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,85,Richmond County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0002489805,0006539,36,NY,New York,72600,129,1110,937,23.770000457763672,3450,,110.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,48,3,,,,,Black or African American,,,,,1,Male,0,2016,0067.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,7197000003,0585359,36,NY,New York,68100,70,1299,785,84.87000274658203,3066,,66.38999938964844
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,93,5,,,,,White,,,,,1,Male,0,2016,0510.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000003025,0002800,36,NY,New York,68100,5,913,605,6.409999847412109,2919,,115.97000122070312
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,199,5,,,,,White,,,,,2,Female,0,2016,9535.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,111,Ulster County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,28740,Kingston - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000021694,0000036,36,NY,New York,75900,58,680,417,23.280000686645508,5180,,131.3699951171875
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,78,2,,,,,Asian,,,,,2,Female,2,2016,4079.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,1,Male,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,1158739,36,NY,New York,106200,291,1504,1631,26.399999618530273,5376,,113.87999725341797
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,69,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,0175.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,5,Bronx County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",13-3222578,0001960,36,NY,New York,72600,322,216,,98.77999877929688,6911,,25.479999542236328
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,86,5,,,,,White,,,,,2,Female,0,2016,0511.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,69,Ontario County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,16-1237621,0000065,36,NY,New York,68100,133,1055,621,7.400000095367432,2324,,71.05999755859375
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,75,5,,,,,White,,,,,2,Female,0,2016,0140.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,81,Queens County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,3,Refinancing,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,26-4599244,0633421,36,NY,New York,72600,100,841,481,47.2599983215332,3705,,100.94999694824219
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,135,5,,,,,White,,,,,1,Male,0,2016,9503.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,111,Ulster County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,28740,Kingston - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000015802,0001983,36,NY,New York,75900,109,1640,1400,10.859999656677246,4317,,94.9800033569336
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,119,5,,,,,White,,,,,2,Female,0,2016,1906.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000480228,0108741,36,NY,New York,106200,348,2554,1322,29.149999618530273,4394,,81.9800033569336
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",107,5,,,,,White,,,,,2,Female,0,2016,0277.05,2,Not Hispanic or Latino,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,85,Richmond County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),22-3039688,0267003,36,NY,New York,72600,383,1955,1427,31.399999618530273,5351,,128.47000122070312
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,70,5,,,,,White,,,,,1,Male,0,2016,0204.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,117,Wayne County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),26-4599244,0113661,36,NY,New York,68100,200,1189,1019,5.5,2856,,112.56999969482422
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,91,5,,,,,White,,,,,1,Male,0,2016,0244.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,65,Oneida County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,46540,"Utica, Rome - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000068433,0000727,36,NY,New York,59600,36,1779,1433,3.5899999141693115,4037,,80.7699966430664
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,117,5,,,,,White,,,,,1,Male,0,2016,1588.04,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008116,0002111,36,NY,New York,106200,85,2350,1988,25.709999084472656,7246,,87.2300033569336
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,92,5,,,,,White,,,,,1,Male,0,2016,3037.00,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000451965,0485710,36,NY,New York,106200,153,2008,2041,22.56999969482422,6718,,87.58999633789062
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",7025,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2016,0142.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",61,New York County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000934329,0000732,36,NY,New York,72600,5600,257,1352,8.899999618530273,4462,,367.6099853515625
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,81,5,,,,,White,,,,,2,Female,0,2016,0115.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",16-1566654,0000978,36,NY,New York,68100,181,2137,2007,8.600000381469727,6060,,143.27999877929688
3,Application denied by financial institution,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,26,3,,,,,Black or African American,,,,,2,Female,0,2016,0067.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000024563,0002894,36,NY,New York,68100,12,1299,785,84.87000274658203,3066,,66.38999938964844
1,Loan originated,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",98,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2016,1347.04,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000004735,0005304,36,NY,New York,106200,276,749,690,7.849999904632568,2661,,111.16000366210938
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,100,7,,,,,Not applicable,,,,,4,Not applicable,2,2016,1700.01,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,103,Suffolk County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,35004,"Nassau County, Suffolk County - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),0000501105,0026111,36,NY,New York,106200,447,3331,1938,11.079999923706055,5613,,103.66000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,61,3,,,,,Black or African American,,,,,2,Female,0,2016,1029.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,81,Queens County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,35614,"New York, Jersey City, White Plains - NY, NJ",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000852218,0133674,36,NY,New York,72600,135,1296,698,33.650001525878906,3319,,119.72000122070312
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,150,5,,,,,White,,,,,1,Male,0,2016,0077.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,55,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,40380,Rochester - NY,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",7776400006,0004704,36,NY,New York,68100,240,1114,729,23.299999237060547,2790,,105.52999877929688
